,Movie Name,Genre,Synopsis,Synopsis Sentiment
10,Life as a House ,Cancer,"George Monroe, a jaded architectural model fabricator, is living the bachelor's life in the old family shack on the coast of California. Over the years, George has been avoiding getting up to modern CAD technology standards and eventually is fired from the architecture firm. When the principal owner refuses to let George keep a few of his models, he destroys all but one of the models with a roll of design plans. As he exits the building with the remaining model, he collapses and is rushed to the hospital, where it is revealed he has advanced stage cancer and any treatment would be futile.
George, with a time limit on his life, decides to demolish the shack left to him by his father and build his own custom house. He enlists his son, Sam, who is alienated from his stepfather Peter and his mother Robin, who has since been remarried to a wealthy investor. Sam is forced to spend his summer with George, who has not revealed his terminal condition, and help him with the house. Initially, Sam makes it a point not to help George demo the old house. When George refuses to give Sam money unless he works for it, Sam toys with becoming a prostitute, but is nearly caught and flees from his first encounter. This leads him to steal George's Vicodin.
George slowly reconnects with Sam. Robin decides to assist as well, and she finds herself rediscovering George. Also joining in the construction are Alyssa, Sam's classmate who lives next door with her mother Colleen; local policeman Kurt Walker, George's childhood friend; Sam's young half-brothers Adam and Ryan; various neighbors; and eventually Peter, even after separating from Robin when she tells him that her feelings for George have re-awakened. George tells Robin of his disease, sending her into shock. George tells Sam, who feels betrayed and accuses George of being selfish and takes refuge at Alyssa's house. George collapses and is found by Robin the following morning. Complications arise when neighbor David Dokos tries to halt construction because the building's height exceeds the allowable limit by six inches. His plans to halt the project are stopped by Sam, who recognizes him from his prostitution attempt and blackmails him.
Sam puts Christmas lights all over the unfinished house and shows George the gleaming house from his hospital window. The next morning, Sam returns to finish the house and Robin sits beside George until his death. Robin goes to the house and tells Sam about his father's death. Sam inherits the house he finished building.  Sam gives the property to a woman who has been living in a trailer park.  As a girl, she was injured in a car crash caused by his grandfather.",POSITIVE
11,Love Story ,Cancer,"Oliver Barrett IV, heir of an American upper-class East Coast family, attends Harvard College where he plays ice hockey. He meets Jennifer ""Jenny"" Cavilleri, a quick-witted, working-class Radcliffe College student of classical music; they fall in love despite their differences.

Oliver is upset that he does not figure in Jenny's plans to study in Paris. She accepts his marriage proposal and he takes her to the Barrett mansion to meet his parents, who are judgmental and unimpressed. Oliver's father says he will cut him off financially if he marries Jenny, but after graduation they marry, nonetheless.

Jenny works as a teacher but without his father's financial support, the couple struggle to pay Oliver's way through Harvard Law School. Oliver graduates third in his class and takes a position at a respectable New York City law firm. They are ready to start a family but fail to conceive. After many tests Oliver is told that Jenny is terminally ill.

Oliver attempts to continue as normal without telling Jenny of her condition, but she confronts her doctor and finds out the truth. Oliver buys tickets to Paris, but she declines to go, wanting only to spend time with him. Oliver seeks money from his estranged father to pay for Jenny's cancer therapy. His father asks if he has ""gotten a girl in trouble"". Oliver says yes, and his father writes a check.

Jenny makes funeral arrangements with her father from her hospital bed. She tells Oliver to not blame himself, insisting that he never held her back from music and it was worth it for the love they shared. Jenny's last wish is for Oliver to embrace her tightly as she dies.

A grief-stricken Oliver leaves the hospital and he sees his father outside, who has rushed to New York City from Massachusetts to offer his help after learning about Jenny's condition. Oliver tells him, ""Jenny's dead,"" and his father says ""I'm sorry,"" to which Oliver responds, ""Love Love means never having to say you're sorry"", something that Jenny had said to him earlier. Oliver walks alone to the open air ice rink, where Jenny had watched him skate the day she was hospitalized.",POSITIVE
12,The Bucket List,Cancer,"Two elderly men, blue-collar automotive mechanic Carter Chambers and billionaire Edward Cole meet for the first time in a hospital owned by Cole after both men are diagnosed with terminal lung cancer. Chambers, a gifted amateur historian and family man, wanted to become a history professor in his youth but chose to start a family instead. Cole, a four-time divorced healthcare tycoon and cultured loner, enjoys drinking kopi luwak, one of the most expensive coffees in the world and tormenting his personal valet Matthew, whom he mistakenly calls Thomas.
While in the hospital, Chambers and Cole manage to find common ground. For fun, Chambers started writing a list of activities to do before he ""kicks the bucket."" After hearing he has less than a year to live, he dejectedly discards his list. Cole finds it the next morning and urges him to do everything on the list, adds his own items to it and offers to finance all expenses. Chambers agrees and though his wife Virginia objects, the two patients begin their globetrotting last vacation. They go skydiving, drive a vintage Shelby Mustang and Dodge Challenger around California Speedway, fly over the North Pole, eat dinner at Chevre d'or, visit the Taj Mahal, ride motorcycles on the Great Wall of China, attend a lion safari in Tanzania and visit Mount Everest.
Atop the Great Pyramid of Giza, they confide mutually about faith and family. Chambers reveals that he has long been feeling less in love with his wife and feels some regret for his chosen path. Cole discloses that he is deeply hurt by his estrangement from his only daughter, who disowned him after he drove away her abusive husband. Later, while in Hong Kong, Cole hires a prostitute to approach Chambers, who has never been with any woman but his wife. Chambers declines and insists they stop the bucket list and go home.
During the return journey, Chambers tries to reunite Cole with his estranged daughter. Considering this a breach of trust, Cole scolds Chambers and then angrily storms off. Chambers returns home to his family while Cole, feeling alone though among escorts, breaks down weeping in his luxury high-rise suite. Chambers' family reunion turns out to be short-lived as while readying for marital romance, he collapses and is rushed to the hospital, where it is discovered that the cancer has spread to his brain. Cole, now in a remarkable remission, visits him to reconcile. Chambers, always a Jeopardy! fan knowledgeable about trivia, reveals how Cole's kopi luwak coffee is fed to and defecated by a jungle cat before being harvested. As the two laugh hysterically over the obscure fact, Chambers implores Cole to finish the list for him.
After Chambers dies during surgery, Cole manages to reconcile with his own daughter and she introduces him to the granddaughter he never knew he had. After greeting the little girl by kissing her cheek, Cole thoughtfully crosses ""kiss the most beautiful girl in the world"" off the bucket list. Soon after, Cole delivers a eulogy at Chambers' funeral, during which he explains that the last three months of Chambers' life were, thanks to Chambers, the best three months of his own.
An epilogue reveals that Cole lived to age 81 and Matthew then took his ashes to a peak in the Himalayas. As Matthew places a Chock full o'Nuts coffee can of Cole's ashes alongside another can of Chambers' ashes, he crosses off the last item on the bucket list, ""witness something truly majestic"" and tucks the completed list between the cans.",POSITIVE
13,One Tree Hill,Heart Disease,"Set in the fictional North Carolina coastal town of Tree Hill, the main storyline in the early seasons is the relationship between two half-brothers, Lucas and Nathan Scott, who start out as enemies but bond as the show progresses. The show starts out with Lucas becoming a member of the Tree Hill Ravens (the high school basketball team) with the help of his uncle Keith. Nathan, already the head of the team, is threatened by this and it becomes the basis of their rivalry, also fueled by Lucas's romantic interest in Nathan's girlfriend, Peyton Sawyer. Later on, Brooke Davis, Peyton's best friend, tries to date Lucas, while Nathan attempts to date Lucas's best friend Haley James. The character of Lucas and Nathan's father Dan Scott is occasionally explored throughout, including his relationships with Karen Roe, Lucas's mother, and Deb Scott, Nathan's mother, and how he ended up with one woman rather than the other, thus abandoning Lucas as his son.",POSITIVE
14,Broadchurch,Heart Disease,"When a young boy is murdered, this small town of Broadchurch in Dorset suddenly becomes the focus of a major event in the full glare of the media spotlight. DI Alec Hardy (David Tennant) and DS Ellie Miller (Olivia Colman) lead the investigation, as one by one the community of Broadchurch are drawn into the police inquiry, starting with the immediate family, and then radiating outward.",POSITIVE
15,21 Grams,Heart Disease,"The story is told in a nonlinear manner. The following is a chronological summary of the plot:
Jack Jordan is a former convict who is using his new-found religious faith to recover from drug addiction and alcoholism. Paul Rivers is a mathematics professor with a dedicated wife, Mary, and has a  fatal heart condition. Unless he receives a new heart from an organ donor, he will not live longer than a month. Mary wants him to donate his sperm so she can have his baby even if he dies. Cristina Peck is a recovering drug addict and now lives a normal suburban life with a supportive husband and two children. She is a loving mother and active swimmer who has left behind her days of drugs and alcohol. These three separate stories/characters become tied together one evening when Jack kills Cristina's husband and children in a hit-and-run accident. Cristina's husband's heart is donated to Paul, who begins his recovery.
Cristina is devastated by the loss and returns to drugs and alcohol. Paul is eager to begin normal life again, but he hesitantly agrees to his wife's idea of artificial insemination as a last-ditch effort to get pregnant. During consultations with a doctor before the procedure, Paul learns about an abortion that Mary had undergone after they had separated in the past. Angered, Paul ends the relationship. He becomes very inquisitive about whose heart he has. He learns from a private detective that the heart belonged to Cristina's husband and begins to follow the widowed Cristina around town.
Jack is stricken with guilt following the accident and starts using drugs again. Despite his wife's protests to keep quiet and conceal his guilt, Jack tells her that his ""duty is to God"" and turns himself in. While incarcerated, he clashes verbally with a pastor who had helped him after his last incarceration, claims that God had betrayed him, loses his will to live and attempts suicide. He is released after Cristina declines to press charges against him, as she realizes that incarcerating Jack will not bring her family back. When Jack is released, he is unable to reincorporate himself into normal family life, and instead leaves home to live as a transient, working as a manual laborer.
Paul finds an opportunity to meet Cristina and eventually reveals how the two of them are connected. She is initially furious and forces him out, but quickly reconsiders. Desperately needing each other, they continue their relationship. Though Paul has a new heart, his body is rejecting the transplant and his outlook is grim. As Cristina begins to dwell more on her changed life and the death of her family, she becomes obsessed with taking revenge against Jack. She goads Paul into agreeing to murder him.
Paul meets with the private detective who originally found Cristina for him. He tells Paul that Jack is living in a motel and sells Paul a gun. Paul and Cristina check into the motel where Jack is staying. When Jack is walking alone, Paul grabs him and leads him out into a clearing at gunpoint intending to kill him. However, Paul is unable to kill Jack, who himself is confused, shaking and pleading during the event. Paul fires three shots into the ground and tells Jack to ""just disappear,"" then returns to the motel, lying to Cristina about Jack's death. Later that night, while they are sleeping, Paul and Cristina are awakened by a noise outside their door. It's Jack, who, still consumed by guilt, orders Paul to actually kill him and end his misery. A struggle ensues, during which Cristina blind-sides Jack and starts beating him with a wooden lamp. Paul collapses, gets hold of the gun, and accidentally shoots himself.
Jack and Cristina rush Paul to the hospital. Still believing he deserves to be punished for his hit-and-run, Jack tells the police that he was the one who shot Paul, but is released when his story cannot be confirmed. Paul dies, and the conflict between Cristina and Jack remains unresolved (they meet in the waiting room after Paul's death; if they have a conversation, it is not shown). When Cristina offers to donate blood for Paul in the hospital, she learns that she is pregnant; the doctor urges Cristina to quit using drugs. After Paul's death, Cristina is seen tentatively preparing for the new child in one of her daughter's bedrooms, which she had previously been unable to enter after her daughter's death. Jack is shown returning to his family.",POSITIVE
16,Seven Pounds,Heart Disease,"In Los Angeles, Ben Thomas berates a sales representative, Ezra Turner, over the phone. Ezra, who is blind, maintains his composure and politely ends the call. At an IRS office after hours, Ben researches Emily Posa, finding that she is being treated for a congenital heart defect. His brother calls, but he denies having taken something from his house.
At an elderly care home, Ben introduces himself as an IRS agent. Administrator Stewart Goodman brags about cutting costs despite buying himself a new BMW. Having paid for an unsuccessful bone marrow transplant, Stewart asks for an extension from the IRS until he can receive a bonus. Ben asks a resident named Inez if Stewart is a ""good man"", and she reveals that he is punishing her by refusing to bathe her. Ben takes Inez to the washroom himself, angrily denying Stewartâs request for an extension.
Ben tells Emily she is being audited, surprises her at home to assist with her debts, and they begin to bond. He moves into a motel room, where he keeps a deadly box jellyfish.
Ben asks Holly, a child and family services worker, for someone he can help. She directs him to Connie Tepos, a Hispanic immigrant trapped in an abusive relationship. Ben visits Connie and urges her to take action, leaving his business card. He donates a kidney to George, a junior hockey coach who arranged partial scholarships for some of his players to attend college.
When Emily is taken back to the hospital, Ben comforts her with a story about a boy named Tim and his little brother, and spends the night at her bedside. Beaten by her boyfriend, Connie calls Ben, who gives her the deed to his own house, providing her and her children with a safe home.
Emily is placed on the priority list for a heart transplant, and Ben takes her home. He initially rejects her attempts to become closer, but later apologizes, and she shows him her letterpress printing workshop. At the hospital, Ben donates bone marrow to help treat Nicholas, a young patient. Emily invites Ben over; after a romantic evening, he shows her he repaired her antique printing press, and they kiss. Benâs brother arrives, revealing he is the real IRS agent Ben Thomas; âBenâ is actually Tim, who stole his brotherâs identity temporarily. Tim starts to leave, but spends the night with Emily.
After Emily falls asleep, Tim goes to the hospital, where her doctor explains that her rare blood type makes finding a viable donor organ almost impossible. Tim calls his lifelong friend Dan Morris, who has promised to execute Tim's will, and announces, âItâs timeâ. Returning to his motel room, Tim calls Ezra, to apologize and explain that his previous rude call was to ensure Ezra was a decent person, and Dan will contact him with a âgiftâ. He then calls 9-1-1 to report his impending suicide.
It is revealed that Tim, once a successful aeronautical engineer, texted while driving and collided with a van, killing all six occupants and his fiancÃ©e. Submerged in a bathtub of ice water, Tim allows himself to be stung to death by the jellyfish. His carefully-planned suicide preserves his organs.
Haunted by the deaths of these seven people, Tim was able to save the lives of six others with his organs: Ben required a lobe transplant, Holly receives part of his liver, George a kidney, Nicholas got bone marrow, Emily receives his heart, and Ezra receives his eyes. The seventh, Connie, received Tim's home allowing her and her children to escape an abusive relationship. Emily meets Ezra, who is now a music teacher and has Tim's eyes. Ezra realizes who she is from the heart surgery scar, and they embrace.",POSITIVE
17,The Godfather,Heart Disease,"In 1945 New York City, Corleone crime family don Vito Corleone listens to requests during his daughter Connie's wedding to Carlo. Michael, Vito's youngest son and a former Marine, introduces his girlfriend, Kay Adams, to his family at the reception. Johnny Fontane, a popular singer and Vito's godson, seeks Vito's help in securing a movie role. Vito dispatches his consigliere, Tom Hagen, to persuade studio head Jack Woltz to give Johnny the part. Woltz complies after he finds the severed head of his prized stallion in his bed.
Near Christmas, drug baron Sollozzo asks Vito to invest in his narcotics business and for protection from the law. Vito declines, citing that involvement in narcotics would alienate his political connections. Suspicious of Sollozzo's partnership with the Tattaglia crime family, Vito sends his enforcer Luca Brasi to meet with the Tattaglias. Brasi is garroted to death during the meeting. Later, enforcers gun down Vito and kidnap Hagen. With Corleone's first-born Sonny now in command, Sollozzo pressures Hagen to persuade Sonny to accept the narcotics deal. Sonny retaliates for Luca's death with a hit on Bruno Tattaglia. Vito survives the shooting and is visited in the hospital by Michael, who finds him unprotected after NYPD officers on Sollozzo's payroll cleared out Vito's guards. Michael thwarts another attempt on his father's life but is beaten by corrupt police captain Mark McCluskey. Sollozzo and McCluskey request to meet with Michael and settle the dispute. Michael feigns interest and agrees to meet, but hatches a plan with Sonny and Corleone capo Clemenza to kill them and go into hiding. Michael meets Sollozzo and McCluskey at a Bronx restaurant; after retrieving a handgun planted into the bathroom by Clemenza, he fatally shoots both men.
Despite a clampdown by the authorities for the killing of a police captain, the Five Families erupt in open warfare. Michael takes refuge in Sicily and Fredo, Vito's second son, is sheltered by Moe Greene in Las Vegas. Sonny publicly attacks and threatens Carlo for physically abusing Connie. When he abuses her again, Sonny speeds to their home but is ambushed and murdered by gangsters at a highway toll booth. In Sicily, Michael meets and marries a local woman, Apollonia, but she is killed shortly thereafter by a car bomb intended for him.
Devastated by Sonny's death and tired of war, Vito sets a meeting with the Five Families. He assures them that he will withdraw his opposition to their narcotics business and forgo avenging Sonny's murder. His safety guaranteed, Michael returns home to enter the family business and marry Kay. Kay gives birth to two children in the early 1950s. With his father nearing the end of his life and Fredo not suited to lead, Michael assumes the position of head of the Corleone family. Vito reveals to Michael that it was Don Barzini who ordered the hit on Sonny and warns him that Barzini would try to kill him at a meeting organized by a traitorous Corleone capo. With Vito's support, Michael relegates Hagen to managing operations in Las Vegas as he is not a ""wartime consigliere"". Michael travels to Las Vegas to buy out Greene's stake in the family's casinos and is dismayed to see that Fredo is more loyal to Greene than to his own family.
In 1955, Vito dies of a heart attack. At Vito's funeral, Tessio asks Michael to meet with Barzini, signaling his betrayal. The meeting is set for the same day as the baptism of Connie's baby. While Michael stands at the altar as the child's godfather, Corleone hitmen murder the dons of the Five Families and Greene, and Tessio is executed for his treachery. Michael extracts Carlo's confession to playing a part in Sonny's murder, assuring Carlo he is only being exiled, not murdered; afterward, Clemenza garrotes Carlo to death. Connie confronts Michael about Carlo's death while Kay is in the room. Kay asks Michael if Connie is telling the truth and is relieved when he denies it. As Kay leaves, capos enter the office and pay reverence to Michael as ""Don Corleone"" before closing the door.",POSITIVE
18,Something's Gotta Give,Heart Disease,"Something's Got to Give, a 1962 film starring Marilyn Monroe and Dean Martin
Something's Gotta Give (film), a 2003 film starring Jack Nicholson and Diane Keaton",POSITIVE
19,Amour,Stroke,"After residents of a Paris apartment building complain of a smell coming from one of the apartments, a brigade of firemen and police break down its door to find the corpse of Anne (Emmanuelle Riva) lying on a bed, adorned with cut flowers.

Several months before the opening scene, Anne and her husband Georges (Jean-Louis Trintignant), both retired piano teachers in their eighties, attend a performance by one of Anne's former pupils, Alexandre. They return home to find that someone has unsuccessfully tried to break into their apartment. The next morning, while they are eating breakfast, Anne silently has a stroke. She sits in a catatonic state, not responding to Georges. She comes around as Georges is about to get help, but has no idea the stroke occurred. Georges is unable to persuade her to get medical attention until Anne finds she is unable to pour herself a drink.

Anne undergoes surgery on a blocked carotid artery, but the surgery goes wrong, leaving her paralyzed on her right side and reliant on a wheelchair. She makes Georges promise not to send her back to the hospital or to a nursing home. Georges becomes Anne's dutiful, though slightly irritated, caretaker. One day, Anne, seemingly having attempted to commit suicide by falling from a window, tells Georges she doesn't want to go on living.

Alexandre, her former pupil whose performance they attended, stops by and Anne gets dressed up and carries on a lively conversation during the visit, giving Georges hope that her condition was temporary. But she soon has a second stroke that leaves her demented and incapable of coherent speech. Georges continues to look after Anne, despite the strain it puts on him.

Georges begins employing a nurse three days a week. Their daughter, Eva (Isabelle Huppert), wants her mother to go into care, but Georges says he will not break the promise he made to Anne. He employs a second nurse, but fires her after he discovers she is mistreating Anne.

One day, Georges sits next to Anne's bedside and tells her a story of his childhood, which calms her. As Anne closes her eyes, he quietly picks up a pillow and smothers her.

Georges returns home with bundles of flowers in his hands, which he proceeds to wash and cut. He picks out a dress from Anne's wardrobe and writes a long letter. He tapes the bedroom door shut and catches a pigeon that has flown in through the window. In the letter, Georges explains that he has released the pigeon. Georges imagines that Anne is washing dishes in the kitchen and, speechless, he gazes at her as she cleans up and prepares to leave the house. Anne calls for Georges to bring a coat, and he complies, following her out of the door.

The film concludes with a continuation of the opening scene, with Eva seated in the living room after wandering around the now-empty home.",NEGATIVE
20,Big Fish ,Stroke,"At Will Bloom's wedding party in 2000, his father Edward recalls the day Will was born, claiming he caught an enormous catfish using his wedding ring as bait. Will, having heard these stories all his life, believes them to be lies and falls out with his father.
Three years later in 2003, Edward has cancer, so Will and his pregnant French wife JosÃ©phine return to the town of Ashton, Alabama, to spend time with him. During the plane ride, Will recalls a story of Edward's childhood encounter with a witch in 1932, who shows him his death in her glass eye. Edward, in spite of his illness, continues to tell the story of his life to Will and JosÃ©phine. He claims to have once been bedridden for three years due to his rapid growth spurts. He then became a locally famous sportsman before being driven by his ambition to leave his hometown.
In 1944, he sets out into the world with a misunderstood giant, Karl, who was terrorizing the town by eating livestock from the surrounding farms. Edward and Karl find a fork in the road and travel down separate paths. Edward follows a path through a swamp and discovers the secret town of Spectre, the cheery locals claiming he was expected. There, he befriends Ashton poet Norther Winslow and the mayor's daughter Jenny. However, Edward leaves Spectre, unwilling to settle down but promising Jenny he will return.
Edward and Karl reunite and visit the Calloway Circus in 1948, where Edward falls in love with a beautiful young woman. Karl and Edward get jobs in the circus, where the ringmaster Amos Calloway reveals to Edward one detail about the woman at the end of every month. Three years later in 1951, Edward discovers that Amos is secretly a werewolf and is attacked by him, but avoids getting him shot with a silver bullet by playing fetch until he turns back into human in the morning. Amos, upon returning to normal, reveals the woman's name to be Sandra Templeton, and that she attends Auburn University.
Edward travels to Auburn, and stalks Sandra for many days, even going so far as to plant thousands of daffodils outside of her sorority house bedroom. She tells him that she is engaged to Edward's childhood peer, Don Price. Don brutally beats up Edward, prompting Sandra to break off their engagement and marry Edward. Not long after, Don dies of a heart attack as the witch had prophesied.
Shortly after, Edward is drafted into the army in 1952, and sent to fight in the Korean War, He parachutes into the middle of a North Korean military show, steals important documents, and convinces Siamese twins Ping and Jing to help him go home in exchange for making them celebrities. Upon returning home, Edward becomes a travelling salesman and crosses paths with Winslow, in 1963. He unwittingly helps Winslow rob a failing bank with no money and later inspires the poet to work on Wall Street. Winslow becomes a wealthy broker and repays Edward with ten thousand dollars, which Edward uses to obtain his dream house.
In the present, Will investigates the truth behind his father's tales and travels to Spectre. He meets an older Jenny, who explains that in 1968, Edward rescued the town from bankruptcy by buying it in an auction and rebuilt it with help from his friends with the Calloway Circus. Will suggests that Jenny had an affair with his father, but she reveals that although she loved Edward, he remained faithful to Sandra.
Will returns home but learns Edward has had a stroke and stays with him at the hospital. Edward wakes up but, unable to speak much, explains the entire setting is what he saw in the witch's eye. Will starts to believe him as he becomes afraid, but he calms him by narrating what he always guessed Edward saw in the eye. Though struggling, Will tells his father of their imagined daring escape from the hospital to the nearby river, where everyone from Edward's past is there to see him off; Will carries Edward through the joyful crowd into the river, where Edward transforms into the giant catfish and swims away. Through telling this story, Will learns to forgive his father, who dies satisfied with his life.
At the funeral, Will and JosÃ©phine are surprised when all the people from Edward's stories come to the service, though each one is slightly less fantastical than described. He asks for their accounts on Edward's stories, where they confirm the credibility but also fantasize his acts in return. Years later, Will passes on Edward's stories to his own son, helping him become ""immortal"".",POSITIVE
21,How to Survive a Plague,AIDs,"Beginning at the start of the HIV/AIDS epidemic in New York City, the documentary follows a group of AIDS activists and founders of the AIDS group ACT UP, and follows their struggle for response from the United States government and medical establishment in developing effective HIV/AIDS medications. Activists took it upon themselves to convince the FDA to approve drugs which could slow or even halt the AIDS virus, and demanded that drug trials (which would usually take 710 years) be shortened so potentially life-saving treatments could be made available. The film also documents the underground market for HIV drugs: many people relied on drugs imported from other countries, which were believed to potentially slow down the HIV virus despite not being FDA-approved.

At the time, the only drug available to slow the progression of HIV was AZT, which in many cases was toxic to HIV-infected people, and in some cases even caused blindness. The cost of AZT was about $10,000 per year in the late 1980s. ACT UP's efforts led to the creation of the International AIDS Conference. Eventually, DDI, an alternative to AZT that did not cause blindness, was released by the FDA despite not going through a full-length safety trial.

HIV activists also protested the immigration policies banning HIV-positive people from immigrating to the United States as being discriminatory and homophobic.

When existing drugs proved ineffective as treatment for HIV, TAG lobbied for more research into the HIV virus. In 1996, protease inhibitors were released. These consist of a combination of drugs which lower the HIV viral load in patients more than any drug had before. It was considered a breakthrough in HIV and AIDS research and continues to be used as a treatment for HIV and AIDS.

The documentary included interviews with HIV activists, physicians and members of underground organizations as well as clips of the protests, meetings and news coverage taking place during the 1980s and 1990s.",POSITIVE
22,Dallas Buyers Club,AIDs,"In July 1985, promiscuous Dallas electrician and rodeo cowboy Ron Woodroof is diagnosed with AIDS and given 30 days to live. As a heterosexual, he initially refuses to accept the diagnosis but remembers having unprotected sex with a prostitute who was an intravenous drug user a couple years prior. He is soon ostracized by family and friends who mistakenly assume he contracted AIDS from homosexual relations. He gets fired from his job, and is eventually evicted from his home. At the hospital, he is tended to by Dr. Eve Saks, who tells him that they are testing a drug called zidovudine (AZT), an antiretroviral drug which is thought to prolong the life of AIDS patientsâand is the only drug approved by the Food and Drug Administration (FDA) for testing on humans. Saks informs him that in the clinical trials, half the patients receive the drug and the other half a placebo, as this is the only way they can determine if the drug is working.
Woodroof bribes a hospital worker to get him AZT. As soon as he begins taking it, he finds his health deteriorating (exacerbated by his cocaine use). When he returns to the hospital, he meets Rayon, a drug addicted, HIV-positive trans woman, to whom he is initially hostile. As his health worsens, he drives to a makeshift Mexican hospital to get more AZT. The facility is run by a Dr. Vass, who has had his American medical license revoked because aspects of his work with AIDS patients had violated US regulations. Vass tells Woodroof that the AZT is ""poisonous"" and ""kills every cell it comes into contact with"". He instead prescribes a cocktail of drugs and nutritional supplements centered on ddC and the protein peptide T, which are not yet approved in the US. Three months later, Woodroof finds his health much improved. It occurs to him that he could make money by importing the drugs and selling them to other HIV-positive patients. Since the drugs alone are not illegal, he is able to get them over the border by masquerading as a priest and swearing that they are for personal use. Meanwhile, Saks also begins to notice the negative effects of AZT, but is told by her supervisor, Dr. Sevard, that it cannot be discontinued.
Over the next year, Woodroof begins selling the drugs on the street, at gay nightclubs, and at discotheque bars. He comes back into contact with Rayon, with whom he reluctantly sets up business since she can bring in more customers. The pair establish the ""Dallas Buyers Club"", charging $400 per month for membership, and it becomes extremely popular. He gradually begins to respect Rayon as a friend. When Woodroof has a heart attack caused by an overdose of recently acquired interferon, Sevard learns of the club and the alternative medication. He is angry that it is interrupting his trial. The FDA confiscates the interferon and threatens to have Woodroof arrested. Saks agrees that there are benefits to AIDS medicine buyers clubs (of which there are several around the country) but feels powerless to change anything. The processes that the FDA uses to research, test and approve drugs are seen as flawed and a part of the problem for AIDS patients. At that time, the United States and its FDA were seen as particularly conservative by international standards in testing and approving anti-AIDS drugs, and hostile to imported drugs to the point they were made contraband. Saks and Woodroof strike up a friendship.
The FDA gets a warrant to raid the Buyers Club, but can ultimately do nothing beyond fining Woodroof. In 1987, the FDA changes its regulations, making any unapproved drug illegal. As the Club runs out of funds, Rayon, who is addicted to cocaine, begs her father for money and tells Woodroof that she has sold her life insurance policy to raise money. Woodroof travels to Mexico and gets more of the peptide T. Upon return, Ron finds out that Rayon has died after being taken to the hospital. Saks is also upset by her death, and is asked to resign when the hospital discovers she has been linking patients with the Buyers Club, having learned that AZT trials previously conducted in France had proven the drug ineffective. She refuses, and insists that she will have to be fired instead.
As time passes, Woodroof shows more compassion towards gay, lesbian, and transgender members of the club and making money becomes less of a concern; his priority is the provision of the drugs. Peptide T gets increasingly difficult to acquire, and in late 1987 he files a lawsuit against the FDA. He seeks the legal right to take the protein, which has been confirmed as non-toxic but is still not approved. The judge is sympathetic toward him and admonishes the FDA, but lacks the power to do anything. As the film ends, the on-screen text reveals that the FDA later allowed Woodroof to take peptide T for personal use and that he died of the disease's effects in 1992, 7 years later than his doctors initially predicted.",POSITIVE
